"filename", "language", "CSS", "JSON", "PHP", "JavaScript", "XML", "JSON with Comments", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\laragon\www\formation-doctorat\resources\js\Components\SearchInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\laragon\www\formation-doctorat\resources\js\Components\SecondaryButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\laragon\www\formation-doctorat\resources\js\Components\SelectMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\laragon\www\formation-doctorat\resources\js\Components\Side.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 3, 4, 36
"c:\laragon\www\formation-doctorat\resources\js\Components\SideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 2, 28
"c:\laragon\www\formation-doctorat\resources\js\Components\TextInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\laragon\www\formation-doctorat\resources\js\Components\utils\HelperFunctions.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\laragon\www\formation-doctorat\resources\js\Layouts\AuthLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 326, 0, 6, 15, 347
"c:\laragon\www\formation-doctorat\resources\js\Layouts\AuthenticatedLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 181, 0, 0, 13, 194
"c:\laragon\www\formation-doctorat\resources\js\Layouts\GuestLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\laragon\www\formation-doctorat\resources\js\Layouts\MainLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"c:\laragon\www\formation-doctorat\resources\js\Layouts\SimpleLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 3, 37
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\AddEditProfessor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 1, 6, 132
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\AddEditProgram.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 1, 6, 181
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\AddField.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 7, 109
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\AdminPrograms.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 183, 0, 0, 7, 190
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\CandidateTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 146, 0, 1, 7, 154
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\EditField.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 5, 79
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\Fields.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 0, 5, 162
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\ProfessorTheses.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"c:\laragon\www\formation-doctorat\resources\js\Pages\Admin\Professors.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 191, 0, 0, 9, 200
"c:\laragon\www\formation-doctorat\resources\js\Pages\Auth\ConfirmPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 11, 60
"c:\laragon\www\formation-doctorat\resources\js\Pages\Auth\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 10, 51
